time "0 (ground state)" 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
48.0 1.121258760483726e-28 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
49.0 1.0123134377117997e-29 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
50.0 4.769260870978444e-29 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
51.0 3.853386189920133e-31 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
52.0 2.828533963990852e-29 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
53.0 5.678263004566247e-27 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
54.0 0.9968066600735921 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
55.0 0.9960577907412617 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
56.0 0.9954539157974072 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
57.0 0.9952773806849836 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
58.0 0.995343538623847 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
59.0 0.9953379917840722 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
60.0 0.9951909353480531 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
61.0 0.9806029289108426 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
62.0 0.9536449341343807 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
63.0 0.9318501030460766 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
64.0 0.91955648751776 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
65.0 0.9073668211268988 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
66.0 0.8915360946289665 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
67.0 0.8822853161958518 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
68.0 0.8745913190315722 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
69.0 0.8678615080561942 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
70.0 0.8681798923709295 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
71.0 0.8777972355585565 1.3579370882187127e-36 6.055137752638597e-36 2.5310467313451263e-35 6.6496443821944145e-06 0.9999928444485792 3.354398490224863e-29 3.3421435710466913e-31 1.9676885663018503e-30 5.893466678372695e-35 1.9553423326948787e-31 4.3430503630265944e-32 6.260297172899343e-35 3.8126778780712e-37 5.292015583409189e-34 4.290220341838606e-31 5.689294887768518e-34 1.4802540328075511e-37 6.824265607287189e-36 2.387481672040254e-33 4.4362896685705115e-31 2.079439140556172e-31 1.2612708740384765e-36 6.649049701641322e-31 4.0400464178920585e-36 5.028498493650835e-38 1.6864449572686636e-32 5.17799152007939e-35 1.1981250737110546e-33 6.066696682582939e-39 1.1919827684256052e-30 1.3152310056268015e-34 1.5733525504629424e-32 2.9006634378874427e-36 1.1843705652673844e-34 2.3853331328121624e-34 1.6727519647636404e-35 6.876303406147703e-31 1.644680802152009e-32 7.343844530698687e-34 1.7791462941987564e-30 8.37941508114291e-34 1.6108412038490327e-34 3.7287904088078956e-34 6.826152550586972e-36 5.538532882467032e-36 1.3329340732866427e-32 1.6766361220611165e-35 5.235929853281182e-38
